total_calls,total_time,total_time/total_calls,primitive_calls,cumulative_time,cumulative_time/primitive_calls,filename:lineno(function)
371057,2.260,0.000,371057,3.811,0.000,optimized_field_elements.py:284(__mul__)
464647,0.547,0.000,464647,0.824,0.000,optimized_field_elements.py:232(__init__)
286199,0.430,0.000,286199,0.430,0.000,optimized_field_elements.py:302(<listcomp>)
415273,0.277,0.000,415273,1.017,0.000,optimized_field_elements.py:430(__init__)
349442,0.272,0.000,349442,0.414,0.000,optimized_field_elements.py:85(__mul__)
1887681,0.180,0.000,1887681,0.180,0.000,optimized_field_elements.py:245(<genexpr>)
2892265,0.148,0.000,2892265,0.150,0.000,{built-in method builtins.isinstance}
26383,0.122,0.000,26383,1.817,0.000,optimized_curve.py:76(double)
449855,0.122,0.000,449855,0.159,0.000,optimized_field_elements.py:58(__init__)
2503,0.099,0.000,2503,0.099,0.000,utils.py:21(prime_field_inv)
13293,0.077,0.000,13293,1.049,0.000,optimized_curve.py:90(add)
1421560,0.075,0.000,1419184,0.076,0.000,{built-in method builtins.len}
415273,0.072,0.000,415273,0.072,0.000,optimized_field_elements.py:434(<listcomp>)
164536,0.071,0.000,116000,0.219,0.000,numbertype.py:19(newF)
79166,0.064,0.000,79166,0.301,0.000,optimized_field_elements.py:268(__sub__)
187337,0.061,0.000,187337,0.061,0.000,modp.py:14(__init__)
84858,0.044,0.000,84858,0.044,0.000,optimized_field_elements.py:286(<listcomp>)
26181,0.041,0.000,114,2.862,0.025,optimized_curve.py:119(multiply)
79166,0.040,0.000,79166,0.040,0.000,optimized_field_elements.py:275(<listcomp>)
85886,0.036,0.000,85886,0.070,0.000,optimized_field_elements.py:117(__sub__)
49374,0.034,0.000,49374,0.211,0.000,optimized_field_elements.py:462(__init__)
742260,0.034,0.000,742260,0.034,0.000,{method 'pop' of 'list' objects}
98867,0.028,0.000,98867,0.068,0.000,modp.py:33(__mul__)
54,0.026,0.000,54,1.845,0.034,optimized_field_elements.py:330(__pow__)
84858,0.025,0.000,84858,0.337,0.000,optimized_field_elements.py:309(__rmul__)
49374,0.021,0.000,49374,0.021,0.000,optimized_field_elements.py:466(<listcomp>)
6957,0.016,0.000,6957,0.035,0.000,version.py:261(__init__)
13182,0.016,0.000,13182,0.119,0.000,modp.py:100(cipolla_mult)
944,0.014,0.000,472,0.019,0.000,euclidean.py:18(extendedEuclideanAlgorithm)
59855,0.014,0.000,59855,0.028,0.000,modp.py:25(__add__)
92284,0.014,0.000,92284,0.103,0.000,optimized_field_elements.py:98(__rmul__)
11770,0.013,0.000,11770,0.013,0.000,{built-in method posix.stat}
47659,0.013,0.000,47659,0.017,0.000,field_elements.py:42(__init__)
19409,0.012,0.000,19409,0.020,0.000,field_elements.py:69(__mul__)
26392,0.012,0.000,26392,0.013,0.000,optimized_field_elements.py:378(__eq__)
278,0.012,0.000,278,0.012,0.000,{built-in method marshal.loads}
44,0.011,0.000,44,0.011,0.000,{built-in method _imp.create_dynamic}
171323,0.010,0.000,171323,0.010,0.000,{built-in method builtins.hasattr}
1861,0.010,0.000,1861,0.042,0.000,<frozen importlib._bootstrap_external>:1536(find_spec)
727,0.008,0.000,727,0.041,0.000,polynomial.py:81(__mul__)
9,0.006,0.001,9,0.008,0.001,{method 'dot' of 'numpy.ndarray' objects}
14445,0.006,0.000,14445,0.014,0.000,<frozen importlib._bootstrap_external>:126(_path_join)
465,0.006,0.000,85,0.016,0.000,sre_parse.py:494(_parse)
28919,0.005,0.000,28919,0.007,0.000,optimized_field_elements.py:179(__eq__)
890,0.005,0.000,890,0.005,0.000,{built-in method posix.listdir}
14445,0.005,0.000,14445,0.007,0.000,<frozen importlib._bootstrap_external>:128(<listcomp>)
10568,0.005,0.000,10568,0.036,0.000,{built-in method builtins.sum}
4361,0.005,0.000,4361,0.005,0.000,version.py:444(_cmpkey)
5782,0.005,0.000,5782,0.007,0.000,posixpath.py:71(join)
6958,0.005,0.000,6958,0.005,0.000,{method 'search' of 're.Pattern' objects}
67,0.004,0.000,67,0.027,0.000,numbertype.py:71(__pow__)
615,0.004,0.000,588,0.023,0.000,{built-in method builtins.__build_class__}
10294,0.004,0.000,10294,0.008,0.000,field_elements.py:101(__sub__)
36972,0.004,0.000,32381,0.050,0.000,{built-in method builtins.divmod}
350,0.003,0.000,350,0.148,0.000,optimized_pairing.py:56(linefunc)
6456,0.003,0.000,6456,0.020,0.000,optimized_field_elements.py:414(one)
44470,0.003,0.000,44470,0.003,0.000,{method 'group' of 're.Match' objects}
26,0.003,0.000,26,0.148,0.006,modp.py:78(sqrt)
7738,0.003,0.000,3869,0.009,0.000,field_elements.py:150(__pow__)
74,0.003,0.000,74,0.048,0.001,{built-in method builtins.sorted}
13002,0.003,0.000,13002,0.003,0.000,sre_parse.py:234(__next)
6791,0.003,0.000,6791,0.020,0.000,optimized_field_elements.py:418(zero)
17910,0.003,0.000,17910,0.003,0.000,version.py:81(__eq__)
807,0.003,0.000,79,0.007,0.000,sre_compile.py:87(_compile)
10333,0.003,0.000,10333,0.017,0.000,numbertype.py:61(__radd__)
17311,0.003,0.000,17284,0.004,0.000,{method 'join' of 'str' objects}
3290,0.003,0.000,3290,0.008,0.000,__init__.py:2100(dist_factory)
2734,0.002,0.000,2734,0.008,0.000,polynomial.py:33(__init__)
2375,0.002,0.000,2375,0.098,0.000,field_elements.py:114(__div__)
761,0.002,0.000,761,0.018,0.000,optimized_curve.py:73(double)
5475,0.002,0.000,5475,0.004,0.000,field_elements.py:56(__add__)
844,0.002,0.000,844,0.005,0.000,__init__.py:691(add)
6745,0.002,0.000,6745,0.010,0.000,<frozen importlib._bootstrap_external>:150(_path_is_mode_type)
3432,0.002,0.000,3432,0.029,0.000,__init__.py:2045(try_parse)
23,0.002,0.000,23,0.010,0.000,field_elements.py:244(__mul__)
32957,0.002,0.000,32957,0.002,0.000,{method 'rstrip' of 'str' objects}
316,0.002,0.000,316,0.003,0.000,sre_compile.py:292(_optimize_charset)
6057,0.002,0.000,6057,0.002,0.000,{built-in method __new__ of type object at 0x745520}
844,0.002,0.000,844,0.025,0.000,__init__.py:2597(from_location)
764,0.002,0.000,764,0.052,0.000,bls12_381_curve.py:75(double)
1672,0.002,0.000,1672,0.035,0.000,__init__.py:2151(distributions_from_metadata)
